"Site_Code","Site_Name","Category","Area","Long","Lat"
"P0231","Bazentin Street Reserves","Park / Reserve",686.53,144.822654,-37.779252
"P3099","Abercairn Court Reserve","Park / Reserve",1449.45,144.759759,-37.758933
"P1671","McLeod/Stevens Reserve","Local Park",1799.78,144.785457,-37.736096
"P3081","Kororoit Crk. (Waterview to Eaglehawk)","Park / Reserve",72767.33,144.785564,-37.76777
"P0228","Foxley Court Reserve No1","Park / Reserve",4114.57,144.761582,-37.807808
"P0177","Rangeview Reserve","Local Park",2426.61,144.781407,-37.761882
"P0184","Thorogood Reserve","Local Park",5455.84,144.779001,-37.706751
"P0207","Station Road Peace Walk","Local Park",6401.58,144.778798,-37.743621
"P3031","SEC Easement - Hall Street to Glengala R","Neighbourhood Park",24338.17,144.808658,-37.789718
"P3032","SEC Easement - Ridgeway Parade to Whites","Neighbourhood Park",19099.93,144.809594,-37.785253
"P0129","Sassella Park","Neighbourhood Park",40296.95,144.774135,-37.763894
"P0001","Ailsa Street Reserve","Local Park",4940.01,144.836787,-37.717634
"P0010","Australia Drive Reserve","Local Park",4701.16,144.782133,-37.705799
"P0022","Bonfield Reserve","Neighbourhood Park",18930.58,144.837907,-37.72339
"P0036","Cliff Harvey Lagoon Reserve","Flagship Park",17768.04,144.836444,-37.720838
"P0063","Esplanade Reserve","Neighbourhood Park",8307.90,144.766137,-37.692844
"P0069","Gerona Street Reserve","Park / Reserve",301.15,144.833722,-37.714517
"P0079","Huart Reserve","Neighbourhood Park",1454.75,144.798589,-37.741724
"P0088","Kurung Drive Reserve","Suburban Park",23369.50,144.767729,-37.730616
"P0100","Monash/Pizzey Reserve","Neighbourhood Park",3786.41,144.839122,-37.788801
"P0130","Selwyn Park","Neighbourhood Park",45233.96,144.81435,-37.781297
"P0148","West Esplanade Reserve","Neighbourhood Park",1780.64,144.797405,-37.742006
"P0182","Moorland Park","Neighbourhood Park",20139.33,144.784671,-37.749661
"P0196","HV McKay Gardens","Heritage Gardens",16327.95,144.828628,-37.783615
"P0197","Pollard Gardens","Neighbourhood Park",5078.77,144.830847,-37.789011
"P0201","Isabella Williams Reserve","Flagship Park",20211.82,144.758302,-37.751297
"P0214","Caroline Chisholm Reserve","Local Park",70312.22,144.840039,-37.720464
"P0216","Arundel Road Bridge Area","Park / Reserve",1351.14,144.832917,-37.704314
"P3001","Benjamin/Calder Park Drive Drainage Ease","Local Park",3072.41,144.757206,-37.697065
"P3008","Gillespie/Main Road West Easement","Local Park",48026.11,144.763001,-37.73694
"P3030","SEC Easement - The Avenue to Hall Street","Neighbourhood Park",44591.67,144.807159,-37.794683
"P3056","Stephen Calleja Reserve","Park / Reserve",122012.08,144.76,-37.745436
"P3057","Kororoit Creek (Esmond/Ballarat Rd Nth)","Park / Reserve",39430.87,144.801626,-37.776566
"P3063","Kororoit Creek (Selwyn Park/Esmond Stree","Park / Reserve",75095.70,144.809388,-37.77942
"P3066","Kororoit Creek (Esmond/Ballarat Rd Sth)","Park / Reserve",39343.15,144.801716,-37.776757
"P3068","Kororoit Creek East Side Derby to Wright","Park / Reserve",38836.52,144.826467,-37.792456
"P3074","Taylors Creek Linear Park. Sunshine Aven","Park / Reserve",112049.94,144.809947,-37.706779
"P3091","Easement along 197 Taylors Road","Park / Reserve",4982.86,144.791369,-37.728944
"P3110","Hatchlands Drive Tree Reserve.","Park / Reserve",171.25,144.755574,-37.776761
"P0213","Keilor Botanical Gardens","Park / Reserve",44645.08,144.857436,-37.713085
"P3116","Windsor Bvd./Robinsons Rd. Reserve 2","Park / Reserve",1554.51,144.754677,-37.788034
"P3115","Windsor Bvd./RobinsonsRd. Reserve 1","Park / Reserve",1545.17,144.754754,-37.787383
"P3117","Kororoit Creek East Side south Wasley St","Park / Reserve",7977.52,144.809718,-37.779627
"P3118","Fairways Bvd. / Abernethy Ave.Reserve","Neighbourhood Park",9083.17,144.766978,-37.778987
"P3119","Calarco Drive North Side Reserve 1","Park / Reserve",6442.07,144.759398,-37.79889
"P3121","Taylors Rd., Reserve No 1/Carbine Way","Park / Reserve",1356.22,144.796068,-37.72748
"P3122","Lanark Pl Reserve","Park / Reserve",384.28,144.76504,-37.781904
"P0235","Central Park Bvd - Reserve No 3","Park / Reserve",592.18,144.762023,-37.781292
"P0234","Central Park Bvd -  Reserve No 2","Park / Reserve",584.61,144.761267,-37.781226
"P0233","Bentley Dr/Duncombe Park Way Res No 1","Neighbourhood Park",9385.82,144.761833,-37.779857
"P3124","Clarian Street Reserve","Neighbourhood Park",14236.29,144.789299,-37.767157
"P3125","Creek Area (Gurnung Drive North)","Neighbourhood Park",41564.16,144.778186,-37.765013
"P3126","Creek Area (Gurnung Drive South)","Park / Reserve",16122.34,144.783913,-37.766698
"P0084","Keilor Park Recreation Reserve","Suburban Park",456445.82,144.852956,-37.716237
"P0074","Green Gully Reserve","Suburban Park",633246.07,144.818874,-37.72133
"P0020","Bon Thomas Reserve","Suburban Park",133209.35,144.76245,-37.774274
